"hexagon_id","geom_wkt"
71,"POLYGON((35000 476313.97208144126,40000 467653.7180435969,50000 467653.7180435969,55000 476313.97208144126,50000 484974.2261192856,40000 484974.2261192856,35000 476313.97208144126))"
72,"POLYGON((35000 493634.48015713005,40000 484974.2261192856,50000 484974.2261192856,55000 493634.48015713005,50000 502294.7341949744,40000 502294.7341949744,35000 493634.48015713005))"
73,"POLYGON((35000 510954.9882328188,40000 502294.7341949744,50000 502294.7341949744,55000 510954.9882328188,50000 519615.2422706632,40000 519615.2422706632,35000 510954.9882328188))"
74,"POLYGON((35000 528275.4963085075,40000 519615.2422706632,50000 519615.2422706632,55000 528275.4963085075,50000 536935.750346352,40000 536935.750346352,35000 528275.4963085075))"
75,"POLYGON((35000 545596.0043841964,40000 536935.750346352,50000 536935.750346352,55000 545596.0043841964,50000 554256.2584220407,40000 554256.2584220407,35000 545596.0043841964))"
76,"POLYGON((35000 562916.5124598851,40000 554256.2584220407,50000 554256.2584220407,55000 562916.5124598851,50000 571576.7664977295,40000 571576.7664977295,35000 562916.5124598851))"
77,"POLYGON((35000 580237.020535574,40000 571576.7664977295,50000 571576.7664977295,55000 580237.020535574,50000 588897.2745734183,40000 588897.2745734183,35000 580237.020535574))"
78,"POLYGON((35000 597557.5286112627,40000 588897.2745734183,50000 588897.2745734183,55000 597557.5286112627,50000 606217.782649107,40000 606217.782649107,35000 597557.5286112627))"
79,"POLYGON((35000 614878.0366869514,40000 606217.782649107,50000 606217.782649107,55000 614878.0366869514,50000 623538.2907247958,40000 623538.2907247958,35000 614878.0366869514))"
80,"POLYGON((35000 632198.5447626403,40000 623538.2907247958,50000 623538.2907247958,55000 632198.5447626403,50000 640858.7988004846,40000 640858.7988004846,35000 632198.5447626403))"
81,"POLYGON((50000 311769.1453623979,55000 303108.8913245535,65000 303108.8913245535,70000 311769.1453623979,65000 320429.3994002423,55000 320429.3994002423,50000 311769.1453623979))"
82,"POLYGON((50000 329089.6534380867,55000 320429.3994002423,65000 320429.3994002423,70000 329089.6534380867,65000 337749.90747593105,55000 337749.90747593105,50000 329089.6534380867))"
83,"POLYGON((50000 346410.16151377547,55000 337749.90747593105,65000 337749.90747593105,70000 346410.16151377547,65000 355070.41555161984,55000 355070.41555161984,50000 346410.16151377547))"
84,"POLYGON((50000 363730.6695894642,55000 355070.41555161984,65000 355070.41555161984,70000 363730.6695894642,65000 372390.9236273086,55000 372390.9236273086,50000 363730.6695894642))"
85,"POLYGON((50000 381051.177665153,55000 372390.9236273086,65000 372390.9236273086,70000 381051.177665153,65000 389711.43170299736,55000 389711.43170299736,50000 381051.177665153))"
86,"POLYGON((50000 398371.6857408418,55000 389711.43170299736,65000 389711.43170299736,70000 398371.6857408418,65000 407031.93977868615,55000 407031.93977868615,50000 398371.6857408418))"
87,"POLYGON((50000 415692.1938165305,55000 407031.93977868615,65000 407031.93977868615,70000 415692.1938165305,65000 424352.44785437494,55000 424352.44785437494,50000 415692.1938165305))"
88,"POLYGON((50000 433012.7018922193,55000 424352.44785437494,65000 424352.44785437494,70000 433012.7018922193,65000 441672.95593006373,55000 441672.95593006373,50000 433012.7018922193))"
89,"POLYGON((50000 450333.2099679081,55000 441672.95593006373,65000 441672.95593006373,70000 450333.2099679081,65000 458993.46400575247,55000 458993.46400575247,50000 450333.2099679081))"
90,"POLYGON((50000 467653.7180435969,55000 458993.46400575247,65000 458993.46400575247,70000 467653.7180435969,65000 476313.97208144126,55000 476313.97208144126,50000 467653.7180435969))"
91,"POLYGON((50000 484974.2261192856,55000 476313.97208144126,65000 476313.97208144126,70000 484974.2261192856,65000 493634.48015713005,55000 493634.48015713005,50000 484974.2261192856))"
92,"POLYGON((50000 502294.7341949744,55000 493634.48015713005,65000 493634.48015713005,70000 502294.7341949744,65000 510954.9882328188,55000 510954.9882328188,50000 502294.7341949744))"
93,"POLYGON((50000 519615.2422706632,55000 510954.9882328188,65000 510954.9882328188,70000 519615.2422706632,65000 528275.4963085075,55000 528275.4963085075,50000 519615.2422706632))"
94,"POLYGON((50000 536935.750346352,55000 528275.4963085075,65000 528275.4963085075,70000 536935.750346352,65000 545596.0043841964,55000 545596.0043841964,50000 536935.750346352))"
95,"POLYGON((50000 554256.2584220407,55000 545596.0043841964,65000 545596.0043841964,70000 554256.2584220407,65000 562916.5124598851,55000 562916.5124598851,50000 554256.2584220407))"
96,"POLYGON((50000 571576.7664977295,55000 562916.5124598851,65000 562916.5124598851,70000 571576.7664977295,65000 580237.020535574,55000 580237.020535574,50000 571576.7664977295))"
97,"POLYGON((50000 588897.2745734183,55000 580237.020535574,65000 580237.020535574,70000 588897.2745734183,65000 597557.5286112627,55000 597557.5286112627,50000 588897.2745734183))"
98,"POLYGON((50000 606217.782649107,55000 597557.5286112627,65000 597557.5286112627,70000 606217.782649107,65000 614878.0366869514,55000 614878.0366869514,50000 606217.782649107))"
99,"POLYGON((50000 623538.2907247958,55000 614878.0366869514,65000 614878.0366869514,70000 623538.2907247958,65000 632198.5447626403,55000 632198.5447626403,50000 623538.2907247958))"
100,"POLYGON((50000 640858.7988004846,55000 632198.5447626403,65000 632198.5447626403,70000 640858.7988004846,65000 649519.052838329,55000 649519.052838329,50000 640858.7988004846))"
101,"POLYGON((65000 303108.8913245535,70000 294448.63728670916,80000 294448.63728670916,85000 303108.8913245535,80000 311769.1453623979,70000 311769.1453623979,65000 303108.8913245535))"
102,"POLYGON((65000 320429.3994002423,70000 311769.1453623979,80000 311769.1453623979,85000 320429.3994002423,80000 329089.6534380867,70000 329089.6534380867,65000 320429.3994002423))"
103,"POLYGON((65000 337749.90747593105,70000 329089.6534380867,80000 329089.6534380867,85000 337749.90747593105,80000 346410.16151377547,70000 346410.16151377547,65000 337749.90747593105))"
104,"POLYGON((65000 355070.41555161984,70000 346410.16151377547,80000 346410.16151377547,85000 355070.41555161984,80000 363730.6695894642,70000 363730.6695894642,65000 355070.41555161984))"
105,"POLYGON((65000 372390.9236273086,70000 363730.6695894642,80000 363730.6695894642,85000 372390.9236273086,80000 381051.177665153,70000 381051.177665153,65000 372390.9236273086))"
106,"POLYGON((65000 389711.43170299736,70000 381051.177665153,80000 381051.177665153,85000 389711.43170299736,80000 398371.6857408418,70000 398371.6857408418,65000 389711.43170299736))"
107,"POLYGON((65000 407031.93977868615,70000 398371.6857408418,80000 398371.6857408418,85000 407031.93977868615,80000 415692.1938165305,70000 415692.1938165305,65000 407031.93977868615))"
108,"POLYGON((65000 424352.44785437494,70000 415692.1938165305,80000 415692.1938165305,85000 424352.44785437494,80000 433012.7018922193,70000 433012.7018922193,65000 424352.44785437494))"
109,"POLYGON((65000 441672.95593006373,70000 433012.7018922193,80000 433012.7018922193,85000 441672.95593006373,80000 450333.2099679081,70000 450333.2099679081,65000 441672.95593006373))"
110,"POLYGON((65000 458993.46400575247,70000 450333.2099679081,80000 450333.2099679081,85000 458993.46400575247,80000 467653.7180435969,70000 467653.7180435969,65000 458993.46400575247))"
111,"POLYGON((65000 476313.97208144126,70000 467653.7180435969,80000 467653.7180435969,85000 476313.97208144126,80000 484974.2261192856,70000 484974.2261192856,65000 476313.97208144126))"
112,"POLYGON((65000 493634.48015713005,70000 484974.2261192856,80000 484974.2261192856,85000 493634.48015713005,80000 502294.7341949744,70000 502294.7341949744,65000 493634.48015713005))"
113,"POLYGON((65000 510954.9882328188,70000 502294.7341949744,80000 502294.7341949744,85000 510954.9882328188,80000 519615.2422706632,70000 519615.2422706632,65000 510954.9882328188))"
114,"POLYGON((65000 528275.4963085075,70000 519615.2422706632,80000 519615.2422706632,85000 528275.4963085075,80000 536935.750346352,70000 536935.750346352,65000 528275.4963085075))"
115,"POLYGON((65000 545596.0043841964,70000 536935.750346352,80000 536935.750346352,85000 545596.0043841964,80000 554256.2584220407,70000 554256.2584220407,65000 545596.0043841964))"
116,"POLYGON((65000 562916.5124598851,70000 554256.2584220407,80000 554256.2584220407,85000 562916.5124598851,80000 571576.7664977295,70000 571576.7664977295,65000 562916.5124598851))"
117,"POLYGON((65000 580237.020535574,70000 571576.7664977295,80000 571576.7664977295,85000 580237.020535574,80000 588897.2745734183,70000 588897.2745734183,65000 580237.020535574))"
118,"POLYGON((65000 597557.5286112627,70000 588897.2745734183,80000 588897.2745734183,85000 597557.5286112627,80000 606217.782649107,70000 606217.782649107,65000 597557.5286112627))"
119,"POLYGON((65000 614878.0366869514,70000 606217.782649107,80000 606217.782649107,85000 614878.0366869514,80000 623538.2907247958,70000 623538.2907247958,65000 614878.0366869514))"
120,"POLYGON((65000 632198.5447626403,70000 623538.2907247958,80000 623538.2907247958,85000 632198.5447626403,80000 640858.7988004846,70000 640858.7988004846,65000 632198.5447626403))"
121,"POLYGON((80000 311769.1453623979,85000 303108.8913245535,95000 303108.8913245535,100000 311769.1453623979,95000 320429.3994002423,85000 320429.3994002423,80000 311769.1453623979))"
122,"POLYGON((80000 329089.6534380867,85000 320429.3994002423,95000 320429.3994002423,100000 329089.6534380867,95000 337749.90747593105,85000 337749.90747593105,80000 329089.6534380867))"
123,"POLYGON((80000 346410.16151377547,85000 337749.90747593105,95000 337749.90747593105,100000 346410.16151377547,95000 355070.41555161984,85000 355070.41555161984,80000 346410.16151377547))"
124,"POLYGON((80000 363730.6695894642,85000 355070.41555161984,95000 355070.41555161984,100000 363730.6695894642,95000 372390.9236273086,85000 372390.9236273086,80000 363730.6695894642))"
125,"POLYGON((80000 381051.177665153,85000 372390.9236273086,95000 372390.9236273086,100000 381051.177665153,95000 389711.43170299736,85000 389711.43170299736,80000 381051.177665153))"
126,"POLYGON((80000 398371.6857408418,85000 389711.43170299736,95000 389711.43170299736,100000 398371.6857408418,95000 407031.93977868615,85000 407031.93977868615,80000 398371.6857408418))"
127,"POLYGON((80000 415692.1938165305,85000 407031.93977868615,95000 407031.93977868615,100000 415692.1938165305,95000 424352.44785437494,85000 424352.44785437494,80000 415692.1938165305))"
128,"POLYGON((80000 433012.7018922193,85000 424352.44785437494,95000 424352.44785437494,100000 433012.7018922193,95000 441672.95593006373,85000 441672.95593006373,80000 433012.7018922193))"
129,"POLYGON((80000 450333.2099679081,85000 441672.95593006373,95000 441672.95593006373,100000 450333.2099679081,95000 458993.46400575247,85000 458993.46400575247,80000 450333.2099679081))"
130,"POLYGON((80000 467653.7180435969,85000 458993.46400575247,95000 458993.46400575247,100000 467653.7180435969,95000 476313.97208144126,85000 476313.97208144126,80000 467653.7180435969))"
131,"POLYGON((80000 484974.2261192856,85000 476313.97208144126,95000 476313.97208144126,100000 484974.2261192856,95000 493634.48015713005,85000 493634.48015713005,80000 484974.2261192856))"
132,"POLYGON((80000 502294.7341949744,85000 493634.48015713005,95000 493634.48015713005,100000 502294.7341949744,95000 510954.9882328188,85000 510954.9882328188,80000 502294.7341949744))"
133,"POLYGON((80000 519615.2422706632,85000 510954.9882328188,95000 510954.9882328188,100000 519615.2422706632,95000 528275.4963085075,85000 528275.4963085075,80000 519615.2422706632))"
134,"POLYGON((80000 536935.750346352,85000 528275.4963085075,95000 528275.4963085075,100000 536935.750346352,95000 545596.0043841964,85000 545596.0043841964,80000 536935.750346352))"
135,"POLYGON((80000 554256.2584220407,85000 545596.0043841964,95000 545596.0043841964,100000 554256.2584220407,95000 562916.5124598851,85000 562916.5124598851,80000 554256.2584220407))"
136,"POLYGON((80000 571576.7664977295,85000 562916.5124598851,95000 562916.5124598851,100000 571576.7664977295,95000 580237.020535574,85000 580237.020535574,80000 571576.7664977295))"
137,"POLYGON((80000 588897.2745734183,85000 580237.020535574,95000 580237.020535574,100000 588897.2745734183,95000 597557.5286112627,85000 597557.5286112627,80000 588897.2745734183))"
138,"POLYGON((80000 606217.782649107,85000 597557.5286112627,95000 597557.5286112627,100000 606217.782649107,95000 614878.0366869514,85000 614878.0366869514,80000 606217.782649107))"
139,"POLYGON((80000 623538.2907247958,85000 614878.0366869514,95000 614878.0366869514,100000 623538.2907247958,95000 632198.5447626403,85000 632198.5447626403,80000 623538.2907247958))"
